lat, lon, z
61.30407672,6.949834479,933.2
61.30402652,6.949726351,934
61.30395829,6.949594087,935.2
61.30386793,6.949426699,936.6
61.303852,6.94905077,938.4
61.30385687,6.948925293,939
61.30385913,6.948753381,939.8
61.30378797,6.948412322,942
61.30374388,6.948313918,942.8
61.30360851,6.948022313,945
61.30342101,6.947916866,944.6
61.30335823,6.947917455,944
61.30323384,6.94762417,944.2
61.30319788,6.947259139,945.6
61.30324457,6.947005083,947.8
61.30335856,6.946769385,949.8
61.30336091,6.94673309,950
61.3032967,6.946454142,950.8
61.30322965,6.946155578,951.8
61.30322847,6.946110316,952
61.30321808,6.946060108,952.2
61.3032247,6.945993724,952.6
61.30322286,6.9458892,953
61.30321825,6.945866989,953
61.30321389,6.945846872,953.2
61.30320542,6.945714272,953.8
61.30319872,6.945628944,954
61.30318439,6.945447391,954.8
61.30317634,6.945391233,955
61.30318791,6.945300036,955.6
61.30313829,6.945085378,956.2
61.30309277,6.944868453,956.8
61.30309126,6.944747836,957.4
61.30307727,6.944658654,957.8
61.30306696,6.944610792,957.8
61.30305539,6.944573495,958
61.30304466,6.944537283,958
61.30303997,6.944524543,958
61.30303267,6.944498643,958.2
61.30302672,6.944460673,958.2
61.30297668,6.944223046,959
61.30296989,6.944178538,959.2
61.30295724,6.944085164,959.4
61.30295657,6.94404074,959.8
61.30297584,6.943732537,961.4
61.30296285,6.94369222,961.4
61.30296243,6.943638994,961.6
61.30294207,6.943502118,962.2
61.30283813,6.943349483,962
61.30282522,6.943294499,962.2
61.30276739,6.943221241,962
61.30275574,6.943218977,962
61.30272816,6.943182014,962
61.30272212,6.943163321,962
61.30270385,6.943139936,962
61.30269497,6.943132646,962
61.30267837,6.943131052,961.8
61.30264451,6.943125017,961.6
61.30260754,6.943099537,961.4
61.30254317,6.94305285,961
61.30249933,6.942961402,961.2
61.30249162,6.942949584,961.2
61.30248399,6.942937011,961.2
61.3024591,6.942913123,961
61.30243915,6.942888563,961
61.30242817,6.942874985,961
61.30231686,6.942574495,961.6
61.30219851,6.942273835,962
61.30219105,6.942240474,962
61.30216087,6.942167971,962.2
61.30213598,6.94196647,963
61.30212533,6.941826409,963.6
61.30213246,6.941781314,963.8
61.30217177,6.941601438,965
61.30214025,6.941343024,966
61.30214084,6.941300109,966.2
61.30214889,6.94126784,966.4
61.30216003,6.941215956,966.8
